hogar,rol,horizonte_min,estrategia,rmse,mae,mape,r2,n
2,validacion_externa,15,baseline_media_hora_dia,1050.8240463246766,471.33412170337897,136.86075743248526,0.0431457963163688,153136
2,validacion_externa,60,baseline_persistencia,1363.815701219174,494.0978671418171,124.27503478572824,-0.6089077414844473,152517
2,validacion_externa,60,baseline_media_hora_dia,1050.7986331246836,471.2508265892154,136.88597592203976,0.0431696059036869,153091
2,validacion_externa,1440,baseline_persistencia,1405.0459578907405,584.1489461037925,178.65167697920162,-0.7380860661194986,145420
2,validacion_externa,1440,baseline_media_hora_dia,1045.3878264507723,468.05219438167535,137.40931299230294,0.043666360483216,151711
13,validacion_externa,15,baseline_persistencia,710.3413668043685,267.89263538439155,38.32079028340811,0.3350510075094447,106519
13,validacion_externa,15,baseline_media_hora_dia,840.6208017717806,420.6822508502533,61.30672450883969,0.0682070240772275,106594
13,validacion_externa,60,baseline_persistencia,855.8131363153607,355.01971458074894,55.824867654452206,0.0365804936139536,106249
13,validacion_externa,60,baseline_media_hora_dia,840.7112617066634,420.6170405754222,61.223256508266175,0.0682943207656514,106549
13,validacion_externa,1440,baseline_persistencia,966.522075568246,429.6080021779339,65.7439662290212,-0.1693587614107552,97969
13,validacion_externa,1440,baseline_media_hora_dia,842.8881503831701,419.5846334389018,58.65255158130598,0.0721929166649441,105169
1,train,15,rf_por_hogar,555.1398241658427,230.44725977417013,50.38196604566841,0.2459197893628775,9384
1,train,60,rf_por_hogar,597.2242828206405,264.2376665834142,59.71345208080201,0.1285197268002677,9370
1,train,1440,rf_por_hogar,610.5935262878955,258.6812198877233,57.85570398967296,0.10318472186417527,9164
3,train,15,rf_por_hogar,614.9078153327933,357.3767913358106,60.20709399901845,0.25171896152015416,8653
3,train,60,rf_por_hogar,660.437972833929,403.9721270483334,75.13463365572221,0.1367771991759943,8642
3,train,1440,rf_por_hogar,691.8513618222566,449.9453986403617,93.94301621260327,0.03385436085625404,8458
4,train,15,rf_por_hogar,265.5976200344423,155.9623022568896,56.97929867236932,0.11408449863948922,9134
4,train,60,rf_por_hogar,278.50161405941736,171.10027118986068,64.76408943802632,0.02662345247755371,9125
4,train,1440,rf_por_hogar,278.60072890525936,166.7163557258514,63.453688164238066,0.06969360421978565,8949
5,train,15,rf_por_hogar,425.08568835257626,250.14505976376805,32.890915118093275,0.3978169048127712,9441
5,train,60,rf_por_hogar,467.5469473378979,289.52118351795934,39.74805413679691,0.2735682297865212,9421
5,train,1440,rf_por_hogar,499.4994291352512,317.725141185209,45.56287797889399,0.2012338952214655,9209
6,train,15,rf_por_hogar,237.31166328856287,135.88456092089964,28.073940480315642,0.31156973546091127,8229
6,train,60,rf_por_hogar,252.81375641406282,150.43951766047698,32.533764571075515,0.2160372575531735,8222
6,train,1440,rf_por_hogar,274.09260979883754,170.96074366551298,40.02499239263362,0.0915019378940437,8042
7,train,15,rf_por_hogar,577.4167925408644,330.9655550752457,81.79207764032085,0.30692439897958246,9273
7,train,60,rf_por_hogar,615.4757724414341,381.4008962040593,109.77003043132612,0.21317818917746034,9264
7,train,1440,rf_por_hogar,624.8947632626491,381.18693116882133,102.69183267893749,0.22147048784547918,9103
8,train,15,rf_por_hogar,646.5750892526256,374.1354713039228,69.2535216861697,0.5041003787190861,8870
8,train,60,rf_por_hogar,679.8189494269282,388.00131241080345,71.50699103660328,0.4518020527196396,8863
8,train,1440,rf_por_hogar,661.968157696178,388.5410214024791,75.80178649720652,0.48665857665395706,8745
9,train,15,rf_por_hogar,614.6433808622484,313.58245579449306,71.8189412053047,0.3347103337016645,8244
9,train,60,rf_por_hogar,660.1520782899438,361.5123712054834,89.43216733973391,0.23997856414818552,8237
9,train,1440,rf_por_hogar,688.4653539093275,402.3930681832692,111.4468133668008,0.19160527143953332,8098
10,train,15,rf_por_hogar,568.8798293332515,338.01431555168483,63.30837309436663,0.3352796478985455,8891
10,train,60,rf_por_hogar,655.0987893913518,418.6256096738352,86.14715630429906,0.11959459234486336,8882
10,train,1440,rf_por_hogar,703.9674504301959,465.2150298768922,102.41269391005943,0.029567600839963792,8739
11,train,15,rf_por_hogar,290.0092015861397,182.68637505773503,50.02321786243119,0.8023117751167446,5749
11,train,60,rf_por_hogar,350.00447264313294,226.16503308714138,64.45506733428972,0.7112974619684946,5742
11,train,1440,rf_por_hogar,436.03326667683154,278.286189908361,73.36839379165079,0.5405306814119095,5586
12,train,15,rf_por_hogar,394.74703960020344,211.5406390852898,63.510379243456015,0.17404481947378614,7892
12,train,60,rf_por_hogar,407.80530609542245,219.92872231703507,67.67513262981095,0.12979507082320185,7883
12,train,1440,rf_por_hogar,457.72633284667074,236.87327150608817,71.79701842042317,0.05998593011654396,7722
15,train,15,rf_por_hogar,235.14362123227596,124.98711571702971,59.69647895146224,-0.10180142391857139,8087
15,train,60,rf_por_hogar,266.6096389354612,157.862501315971,80.2963401689713,-0.415097736070291,8078
15,train,1440,rf_por_hogar,298.26948637076015,198.5596308363361,105.58578548905157,-0.8174031536890423,7903
16,train,15,rf_por_hogar,383.2241390250688,250.2212301915672,77.91042225765783,0.015131599814028562,7298
16,train,60,rf_por_hogar,414.31721981857487,289.75553094068636,95.41520553595471,-0.14693702423452115,7290
16,train,1440,rf_por_hogar,509.1431107254925,391.00612183170335,142.0056442672,-0.6268162731536073,7108
17,train,15,rf_por_hogar,608.6005717675415,255.1481803346823,58.18761984680246,0.4262018263217179,7838
17,train,60,rf_por_hogar,677.7346394624869,311.40442159843946,64.61831206167014,0.2879610734827267,7833
17,train,1440,rf_por_hogar,785.2157968162562,367.8595918315629,67.97866337673538,0.057217525685463344,7731
18,train,15,rf_por_hogar,317.8393226683057,159.74024488386212,35.917318338597276,0.3299373283030961,7328
18,train,60,rf_por_hogar,331.8607559974937,173.50966135541438,39.734525463032185,0.2691921752445108,7323
18,train,1440,rf_por_hogar,334.93986054136116,176.47701334451568,42.059136199964456,0.23012708514921054,7224
